key,en,nl,fr,de
Titulars for the teams,Titulars for the teams,Titularissen voor de teams,Titulaires pour les équipes,Inhaber für Teams
Tools,Tools,Tools,Outils,Werkzeuge
Tournament director,Tournament director,Toernooidirecteur,Directeur de tournoi,Turnierleiter
Tournament rules,Tournament rules,Wedstrijdreglement,Règlement des tournois,Turnierregeln
Transfer of all members to a single club at once.,Transfer of all members to a single club at once.,Transfer van alle leden in één keer naar één club.,Transfert de tous les membres vers un seul club à la fois.,Transfer aller Mitglieder auf einen einzigen Club auf einmal.
Treasurer,Treasurer,Penningmeester,Trésorier,Schatzmeister
Useful information,Useful information,Nuttige informatie,Information utile,Nützliche Informationen
Venue,Venue,Speelzaal,Salle de jeux,Spielort
Vice president,Vice president,Vicevoorzitter,Vice-président,Vizepräsident
Webmaster,Webmaster,Webmaster,Webmaster,Webmaster
Website,Website,Website,Site web,Webseite
Which versions do you want?,Which versions do you want?,Welke versies wens je?,Quelles versions voulez-vous?,Welche Versionen möchten Sie?
Wishes,Wishes,Wensen,Vœux,Wünsche
Youth,Youth,Jeugd,Jeunesse,Jugend
Youth director,Youth director,Jeugdleider,Directeur de la jeunesse,Jugendleiter
